ticket_id,status,latency,revisions,confidence,improved,drafts,critic_history
TCK-000,Auto-Resolved,0.06,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-001,Auto-Resolved,0.03,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-002,Auto-Resolved,0.03,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-003,Auto-Resolved,0.04,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-004,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-005,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-006,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-007,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-008,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-009,Auto-Resolved,0.03,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-010,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
